RIC,Trade Date,Open Price,High Price,Low Price,Universal Close Price,Volume
EUR=,2000-09-22,.8605,.9022,.8568,.8758,
EUR=,2000-09-21,.8491,.8615,.8455,.8614,
EUR=,2000-09-20,.851,.8518,.8437,.849,
EUR=,2000-09-19,.8544,.8564,.8474,.851,
EUR=,2000-09-18,.8529,.8574,.8509,.8533,
EUR=,2000-09-15,.8643,.8699,.8524,.8532,
EUR=,2000-09-14,.8599,.8738,.8564,.8642,
EUR=,2000-09-13,.8634,.8703,.858,.8593,
EUR=,2000-09-12,.8584,.8689,.8548,.8635,
EUR=,2000-09-11,.8641,.8723,.8563,.8579,
EUR=,2000-09-08,.872,.8748,.8633,.866,
EUR=,2000-09-07,.8714,.8765,.8629,.8718,
EUR=,2000-09-06,.8897,.8898,.8683,.8696,
EUR=,2000-09-05,.8975,.8989,.8846,.8896,
EUR=,2000-09-04,.8995,.9038,.8962,.8975,
EUR=,2000-09-01,.8885,.9016,.8872,.8995,
EUR=,2000-08-31,.8947,.8972,.8837,.8886,
EUR=,2000-08-30,.8921,.8947,.8865,.8943,
EUR=,2000-08-29,.8994,.9022,.8904,.8922,
EUR=,2000-08-28,.9022,.9043,.8982,.8998,
EUR=,2000-08-25,.9017,.9072,.8972,.902,
EUR=,2000-08-24,.902,.9052,.899,.9017,
EUR=,2000-08-23,.897,.9017,.8905,.9009,
EUR=,2000-08-22,.902,.9034,.894,.8969,
EUR=,2000-08-21,.9069,.9076,.9005,.9018,
EUR=,2000-08-18,.9161,.9185,.9055,.9063,
EUR=,2000-08-17,.916,.9173,.9112,.9162,
EUR=,2000-08-16,.9125,.9177,.906,.9158,
EUR=,2000-08-15,.9058,.914,.9054,.9125,
EUR=,2000-08-14,.9036,.9066,.8995,.9055,
EUR=,2000-08-11,.9079,.9143,.9022,.9022,
EUR=,2000-08-10,.901,.9098,.9001,.9078,
EUR=,2000-08-09,.902,.9032,.8959,.9012,
EUR=,2000-08-08,.9073,.9085,.8982,.9019,
EUR=,2000-08-07,.907,.9112,.905,.9073,
EUR=,2000-08-04,.9062,.91,.901,.9078,
EUR=,2000-08-03,.9135,.9176,.8991,.9066,
EUR=,2000-08-02,.9143,.919,.911,.913,
EUR=,2000-08-01,.9263,.9291,.9128,.9139,
EUR=,2000-07-31,.9235,.9293,.9217,.9259,
EUR=,2000-07-28,.9315,.9335,.9219,.923,
EUR=,2000-07-27,.9433,.9442,.9314,.9317,
EUR=,2000-07-26,.938,.9448,.9377,.9431,
EUR=,2000-07-25,.9332,.943,.9315,.9382,
EUR=,2000-07-24,.936,.9374,.9307,.9335,
EUR=,2000-07-21,.9329,.9379,.931,.9368,
EUR=,2000-07-20,.9245,.9343,.9198,.9328,
EUR=,2000-07-19,.9247,.9261,.9188,.9242,
EUR=,2000-07-18,.9364,.9365,.9225,.924,
EUR=,2000-07-17,.938,.9399,.9336,.9364,
EUR=,2000-07-14,.9366,.9389,.9313,.9381,
EUR=,2000-07-13,.9412,.9424,.932,.937,
EUR=,2000-07-12,.9517,.9526,.9389,.9421,
EUR=,2000-07-11,.9548,.9565,.9488,.9522,
EUR=,2000-07-10,.948,.9554,.9472,.9551,
EUR=,2000-07-07,.9506,.9526,.9458,.9482,
EUR=,2000-07-06,.9529,.9597,.9493,.9505,
EUR=,2000-07-05,.9514,.9571,.9505,.9529,
EUR=,2000-07-04,.9503,.952,.9462,.9507,
EUR=,2000-07-03,.9522,.9545,.9478,.9502,
EUR=,2000-06-30,.9506,.9601,.95,.9523,
EUR=,2000-06-29,.9414,.9536,.9411,.9517,
EUR=,2000-06-28,.945,.9468,.9395,.9412,
EUR=,2000-06-27,.9368,.9469,.935,.9457,
EUR=,2000-06-26,.936,.9395,.9294,.9365,
EUR=,2000-06-23,.9356,.9429,.9336,.9357,
EUR=,2000-06-22,.945,.9473,.9342,.9357,
EUR=,2000-06-21,.954,.9544,.9428,.9442,
EUR=,2000-06-20,.9566,.9621,.9526,.9543,
EUR=,2000-06-19,.9634,.9694,.956,.9567,
EUR=,2000-06-16,.9542,.9658,.9493,.9646,
EUR=,2000-06-15,.9571,.9604,.9498,.9542,
EUR=,2000-06-14,.9584,.9654,.9565,.9577,
EUR=,2000-06-13,.9535,.9649,.9518,.959,
EUR=,2000-06-12,.9523,.9561,.9487,.9532,
EUR=,2000-06-09,.9543,.9568,.9455,.9529,
EUR=,2000-06-08,.9621,.9701,.9505,.9559,
EUR=,2000-06-07,.9538,.963,.9528,.9615,
EUR=,2000-06-06,.9464,.9601,.9447,.9543,
EUR=,2000-06-05,.9461,.9491,.9409,.9477,
EUR=,2000-06-02,.9312,.9504,.9292,.9463,
EUR=,2000-06-01,.9369,.9378,.9281,.9313,
EUR=,2000-05-31,.929,.9382,.9255,.9377,
EUR=,2000-05-30,.9268,.941,.9236,.9298,
EUR=,2000-05-29,.9322,.9333,.9233,.9264,
EUR=,2000-05-26,.9127,.9342,.9108,.931,
EUR=,2000-05-25,.9029,.9135,.8974,.9125,
EUR=,2000-05-24,.9068,.9127,.9024,.903,
EUR=,2000-05-23,.9024,.9155,.9016,.9074,
EUR=,2000-05-22,.8973,.9071,.8951,.9027,
EUR=,2000-05-19,.8947,.8997,.8843,.8972,
EUR=,2000-05-18,.8948,.8972,.89,.8944,
EUR=,2000-05-17,.9004,.903,.8886,.8951,
EUR=,2000-05-16,.907,.9106,.8992,.9002,
EUR=,2000-05-15,.9175,.9192,.9109,.9115,
EUR=,2000-05-12,.9012,.9199,.8975,.9197,
EUR=,2000-05-11,.9034,.9108,.8987,.9013,
EUR=,2000-05-10,.9087,.9127,.9045,.9065,
EUR=,2000-05-09,.8967,.9078,.8942,.9073,
EUR=,2000-05-08,.8962,.9045,.8912,.8973,
EUR=,2000-05-05,.8908,.9011,.8899,.8967,
EUR=,2000-05-04,.8954,.8973,.8844,.8907,
EUR=,2000-05-03,.9098,.9107,.8881,.8956,
EUR=,2000-05-02,.915,.9175,.903,.9098,
EUR=,2000-05-01,.9118,.9171,.9068,.9157,
EUR=,2000-04-28,.91,.914,.9027,.912,
EUR=,2000-04-27,.9239,.9249,.9058,.9097,
